ID,Product_Name,UPC_Code,Department_Name,Department_Code,Category,Display_Price,Price_Numeric,Age_Restricted,Age_Restricted_Boolean,Stock_Status,Search_Terms,Tax_Rate,Total Price After Tax
25713919807.0,UPTIME BLOOD ARANGE 120z,025713919807,Beverages & Drinks,25,Drinks,$2.99 ,2.99,No,False,In Stock,uptime blood arange 120z,8.625,3.25
25713919906.0,UPTIME BLOOD ORANGE 120z,025713919906,Beverages & Drinks,25,Drinks,$2.99 ,2.99,No,False,In Stock,uptime blood orange 120z,8.625,3.25
25713921206.0,UPTIME WHITE PEACH LEMONADE 120z,025713921206,Beverages & Drinks,25,Drinks,$2.99 ,2.99,No,False,In Stock,uptime white peach lemonade 120z,8.625,3.25
25900205379.0,2'S SWISHER DIAMOND,025900205379,Tobacco Accessories,26,Tobacco,$1.49 ,1.49,Yes,True,In Stock,2 s swisher diamond,8.625,1.62
25900206260.0,2'S SWISHER RED,025900206260,Tobacco Accessories,26,Tobacco,$1.49 ,1.49,Yes,True,In Stock,2 s swisher red,8.625,1.62
25900206277.0,2'S SWISHER GRAPE,025900206277,Tobacco Accessories,26,Tobacco,$1.49 ,1.49,Yes,True,In Stock,2 s swisher grape,8.625,1.62
25900207465.0,SWISHER SWEET 2 CIGARS,025900207465,Tobacco Accessories,26,Tobacco,$2.75 ,2.75,Yes,True,In Stock,swisher sweet 2 cigars,8.625,2.99
25900225827.0,OUTLAW DOUBLE BARREL RUM CIGAR,025900225827,Tobacco Accessories,26,Tobacco,$2.30 ,2.3,Yes,True,In Stock,outlaw double barrel rum cigar,8.625,2.5
25900225834.0,OUTLAW HONEY MAPLE,025900225834,Tobacco Accessories,26,Tobacco,$2.30 ,2.3,Yes,True,In Stock,outlaw honey maple,8.625,2.5
25900225841.0,OUTLAWS PEACH BRANDY CIGAR,025900225841,Tobacco Accessories,26,Tobacco,$2.30 ,2.3,Yes,True,In Stock,outlaws peach brandy cigar,8.625,2.5
25900227289.0,SWISHER,025900227289,Tobacco Accessories,26,Tobacco,$0.99 ,0.99,Yes,True,In Stock,swisher,8.625,1.08
25900227395.0,SWISHER,025900227395,Tobacco Accessories,26,Tobacco,$0.99 ,0.99,Yes,True,In Stock,swisher,8.625,1.08
25900253387.0,SWISHER,025900253387,Tobacco Accessories,26,Tobacco,$0.99 ,0.99,Yes,True,In Stock,swisher,8.625,1.08
26100001648.0,KENT III KINGS (NY),026100001648,Pet Supplies,13,Pets,$18.49 ,18.49,No,False,In Stock,kent iii kings ny,8.625,20.08
26100001747.0,KENT III 100S (NY),026100001747,Pet Supplies,13,Pets,$18.49 ,18.49,No,False,In Stock,kent iii 100s ny,8.625,20.08
26100005721.0,NEWPORT MEN GOLD BOX 100 (NY),026100005721,Pet Supplies,13,Pets,$14.96 ,14.96,No,False,In Stock,newport men gold box 100 ny,8.625,16.25
26100005738.0,NEWPORT BOX 100 (NY),026100005738,Pet Supplies,13,Pets,$14.96 ,14.96,No,False,In Stock,newport box 100 ny,8.625,16.25
26100005752.0,NEWPORT BOX (NY),026100005752,Pet Supplies,13,Pets,$14.96 ,14.96,No,False,In Stock,newport box ny,8.625,16.25
